title	short_title	link	saleprice	oldprice	reviews	percentoff
Reolink 4MP HD PoE CCTV Camera Systems, 4X 1440P Wired PoE Outdoor IP Security Camera, 8-Channel NVR Built-in 2TB HDD for 24/7 Recording, Weatherproof Night Vision Motion Detection, RLK8-410B4	Reolink 4MP HD PoE CCTV C	/Reolink-Supported-Surveillance-Recording-RLK8-410B4-4MP-8CH-4MP-POE-NVR-4-Bullet-Cameras/dp/B07L934435/ref=sr_1_66?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-66	276.79	399.99	143	30.80077002
Reolink 4K 8CH PoE CCTV Outdoor Camera Systems, with 4pcs 8MP Ultra HD Four Times 1080P PoE Security IP Cameras and 2TB HDD NVR for 24/7 Recording, Digitally Zoom Waterproof Night Vision RLK8-800D4	Reolink 4K 8CH PoE CCTV O	/NEW%E3%80%91Reolink-Security-Digitally-Waterproof-RLK8-800D4/dp/B0814Z8H4Q/ref=sr_1_89?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252033&s=black-friday&sr=1-89	399.99	576.39	138	30.60427835
Reolink 4K PoE CCTV Camera System, 8CH Security Systems 4X 8MP Four Times 1080P Outdoor IP Camera, 8CH 2TB HDD NVR Continuous Recording Night Vision Digitally Zoom Audio Remote Access, RLK8-800B4	Reolink 4K PoE CCTV Camer	/Reolink-8-Channel-Surveillance-Recording-RLK8-800B4/dp/B07LBFJDQW/ref=sr_1_47?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252024&s=black-friday&sr=1-47	399.99	576.39	515	30.60427835
ieGeek Security Camera WiFi IP Camera 1080P Wireless Indoor CCTV Camera with Cloud Storage, Motion Tracker, Speed Playback for Home Surveillance Baby/Elder/Pet/Nanny Monitor	ieGeek Security Camera Wi	/ieGeek-Security-Wireless-Playback-Surveillance/dp/B07RMXQ3SN/ref=sr_1_151?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252046&s=black-friday&sr=1-151	22.94	32.99	932	30.4637769
Samsung T7 Portable SSD - 500 GB - USB 3.2 Gen.2 External SSD - Metallic Red (MU-PC500R/WW)	Samsung T7 Portable SSD -	/Samsung-T7-Portable-SSD-MU-PC500R/dp/B087DF38J9/ref=sr_1_62?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252027&s=black-friday&sr=1-62	86.76	124.49	646	30.30765523
Ring Spotlight Cam Battery | HD Security Camera with LED Spotlight, Alarm, Two-Way Talk, Battery Operated | With 30-day free trial of Ring Protect Plan	Ring Spotlight Cam Batter	/Ring-Spotlight-Battery-Security-Operated/dp/B077VXQX7P/ref=sr_1_136?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252043&s=black-friday&sr=1-136	139	199	0	30.15075377
Western Digital WD 4 TB My Passport Wireless Pro, Black	Western Digital WD 4 TB M	/WD-TB-Passport-Wireless-Pro/dp/B01M7YQ89L/ref=sr_1_23?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-23	159.99	228.99	197	30.13232019
nonda USB Type C to USB 3.0 Adapter, Thunderbolt 3 to USB Adapter Aluminum with Indicator LED for MacBook Pro 2019/2018, MacBook Air 2018, Pixel 3, Dell XPS and More Type-C Devices (Space Gray)	nonda USB Type C to USB 3	/nonda-Adapter-Thunderbolt-Aluminum-Indicator/dp/B015Z7XE0A/ref=sr_1_128?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252040&s=black-friday&sr=1-128	6.99	9.99	0	30.03003003
Soundcore Motion+ Bluetooth Speaker with Hi-Res 30W Audio, BassUp, Extended Bass and Treble, Wireless HIFI Portable Speaker with App, Customizable EQ, 12-Hour Playtime, IPX7 Waterproof, and USB-C	Soundcore Motion+ Bluetoo	/Soundcore-Bluetooth-Extended-Customizable-Waterproof/dp/B07P39MLKH/ref=sr_1_71?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252030&s=black-friday&sr=1-71	69.99	99.99	0	30.0030003
ANNKE 4CH 1080P FHD WiFi Wireless CCTV Camera System with 10.1â€™â€™ LCD Monitor, Support 5MP Wireless IP Camera, Audio Recording, IR Night Vision, Plug & Play, 1TB Hard Drive	ANNKE 4CH 1080P FHD WiFi 	/ANNKE-Wireless-Monitor-Outdoor-Automatic/dp/B07MJVQYSJ/ref=sr_1_22?dchild=1&keywords=hard+drive&psr=EY17&qid=1606252021&s=black-friday&sr=1-22	181.99	259.99	74	30.00115389
